Exp. index,channel,behavior,note,occur time,mitosis-phase1,mitosis-phase2,mitosis-phase3,mitosis-phase4,migration-phase1,migration-phase2,migration-phase3,,,
22,3,Migrate-in,,31.68,,,,,29.567,30.317,31.9,29.567,31.9,1
22,4,Mitosis-phase1,,25.35,25.15,26.4,26.817,27.983,,,,25.15,27.983,1
22,4,Mitosis-phase2,,26.8,,,,,,,,0,0,1
22,4,Mitosis-phase1,,48.27,48.017,49.017,49.433,50.017,,,,48.017,50.017,1
22,4,Mitosis-phase2,,48.86,,,,,,,,0,0,1
22,6,Migrate-out,,36.12,,,,,33.9,34.9,36.9,33.9,36.9,1
22,7,Migrate-in,,10.4,,,,,8.183,9.1,10.433,8.183,10.433,1
22,7,Mitosis-phase1,,15.82,15.067,15.733,15.983,16.4,,,,15.067,16.4,1
22,7,Mitosis-phase2,,16.43,,,,,,,,0,0,1
22,7,Mitosis-phase1,,48.66,48.1,49.267,49.767,50.017,,,,48.1,50.017,1
22,7,Mitosis-phase2,,49.25, ,,,,,,,0,0,1
22,8,Migrate-in,,11.04,,,,,10.683,11.017,11.35,10.683,11.35,1
22,8,Migrate-out,,13.21,,,,,12.85,13.1,13.4,12.85,13.4,1
22,8,Mitosis-phase1,,23.317,22.65,23.4,23.733,24.65,,,,22.65,24.65,1
22,8,Mitosis-phase2,,24.567,,,,,,,,0,0,1
22,8,Migrate-in,,31.39,,,,,29.817,31.483,32.067,29.817,32.067,1
22,8,Mitosis-phase1,,55.6,54.683,55.433,55.683,56.267,,,,54.683,56.267,1
22,8,Mitosis-phase2,,56.38,,,  ,,,,,0,0,1
22,9,Migrate-out,,39.817,,,,,38.733,39.9,41.067,38.733,41.067,1
22,9,Migrate-in,,53.1,,,,,51.933,52.35,54.683,51.933,54.683,1
22,12,Migrate-in,,13.55,,,,,13.267,13.567,15.9,13.267,15.9,1
22,12,Mitosis-phase1,,50.6,50.017,50.35,50.933,51.767,,,,50.017,51.767,1
22,12,Mitosis-phase2,,51.27,,,,,,,,0,0,1
22,13,Migrate-in,,10.09,,,,,8.767,9.1,10.35,8.767,10.35,1
22,13,Migrate-in,,23.07,,,,,22.983,24.567,25.65,22.983,25.65,1
22,13,Mitosis-phase1,,44.07,43.817,44.567,44.65,45.483,,,,43.817,45.483,1
22,13,Mitosis-phase2,,45.39,,,,,,,,0,0,1
22,14,Mitosis-phase1,,38.567,38.15,38.733,38.817,40.65,,,,38.15,40.65,1
22,14,Mitosis-phase2,,38.98,,,,,,,,0,0,1
22,15,Migrate-in,,10.1,,,,,9.6,9.85,10.433,9.6,10.433,1
22,15,Migrate-in,,14.72,,,,,13.4,14.233,14.817,13.4,14.817,1
22,15,Mitosis-phase1,,31.57,31.067,31.9,32.15,33.15,,,,31.067,33.15,1
